image_name,slide,sample_id,staining
22-082_10X_LAMP2_LGALS3_SQSTM1_4-Scene-31-TAG31,8,TAG31,LAMP2
22-082_10X_LAMP2_LGALS3_SQSTM1_4-Scene-31-TAG31,8,TAG31,LGALS3
22-082_10X_LAMP2_LGALS3_SQSTM1_4-Scene-31-TAG31,8,TAG31,SQSTM1
22-082_10X_LAMP2_LGALS3_SQSTM1_4-Scene-32-TAG32,8,TAG32,LAMP2
22-082_10X_LAMP2_LGALS3_SQSTM1_4-Scene-32-TAG32,8,TAG32,LGALS3
22-082_10X_LAMP2_LGALS3_SQSTM1_4-Scene-32-TAG32,8,TAG32,SQSTM1
22-082_10X_LAMP2_LGALS3_SQSTM1_4-Scene-33-TAG33,8,TAG33,LAMP2
22-082_10X_LAMP2_LGALS3_SQSTM1_4-Scene-33-TAG33,8,TAG33,LGALS3
22-082_10X_LAMP2_LGALS3_SQSTM1_4-Scene-33-TAG33,8,TAG33,SQSTM1
22-082_10X_LAMP2_LGALS3_SQSTM1_4-Scene-34-TAG34,8,TAG34,LAMP2
22-082_10X_LAMP2_LGALS3_SQSTM1_4-Scene-34-TAG34,8,TAG34,LGALS3
22-082_10X_LAMP2_LGALS3_SQSTM1_4-Scene-34-TAG34,8,TAG34,SQSTM1
22-082_10X_LAMP2_LGALS3_SQSTM1_4-Scene-35-TAG35,8,TAG35,LAMP2
22-082_10X_LAMP2_LGALS3_SQSTM1_4-Scene-35-TAG35,8,TAG35,LGALS3
22-082_10X_LAMP2_LGALS3_SQSTM1_4-Scene-35-TAG35,8,TAG35,SQSTM1
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_1-Scene-1-QUAG01,1,QUAG01,DAPI
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_1-Scene-1-QUAG01,1,QUAG01,Laminin
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_1-Scene-1-QUAG01,1,QUAG01,Dystrophin
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_1-Scene-1-QUAG01,1,QUAG01,Collagen4
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_1-Scene-2-QUAG02,1,QUAG02,DAPI
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_1-Scene-2-QUAG02,1,QUAG02,Laminin
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_1-Scene-2-QUAG02,1,QUAG02,Dystrophin
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_1-Scene-2-QUAG02,1,QUAG02,Collagen4
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_1-Scene-3-QUAG03,1,QUAG03,DAPI
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_1-Scene-3-QUAG03,1,QUAG03,Laminin
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_1-Scene-3-QUAG03,1,QUAG03,Dystrophin
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_1-Scene-3-QUAG03,1,QUAG03,Collagen4
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_1-Scene-4-QUAG04,1,QUAG04,DAPI
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_1-Scene-4-QUAG04,1,QUAG04,Laminin
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_1-Scene-4-QUAG04,1,QUAG04,Dystrophin
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_1-Scene-4-QUAG04,1,QUAG04,Collagen4
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_1-Scene-5-QUAG05,1,QUAG05,DAPI
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_1-Scene-5-QUAG05,1,QUAG05,Laminin
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_1-Scene-5-QUAG05,1,QUAG05,Dystrophin
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_1-Scene-5-QUAG05,1,QUAG05,Collagen4
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_2-Scene-21-QUAG21,1,QUAG21,DAPI
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_2-Scene-21-QUAG21,1,QUAG21,Laminin
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_2-Scene-21-QUAG21,1,QUAG21,Dystrophin
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_2-Scene-21-QUAG21,1,QUAG21,Collagen4
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_2-Scene-22-QUAG22,1,QUAG22,DAPI
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_2-Scene-22-QUAG22,1,QUAG22,Laminin
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_2-Scene-22-QUAG22,1,QUAG22,Dystrophin
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_2-Scene-22-QUAG22,1,QUAG22,Collagen4
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_2-Scene-23-QUAG23,1,QUAG23,DAPI
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_2-Scene-23-QUAG23,1,QUAG23,Laminin
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_2-Scene-23-QUAG23,1,QUAG23,Dystrophin
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_2-Scene-23-QUAG23,1,QUAG23,Collagen4
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_2-Scene-24-QUAG24,1,QUAG24,DAPI
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_2-Scene-24-QUAG24,1,QUAG24,Laminin
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_2-Scene-24-QUAG24,1,QUAG24,Dystrophin
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_2-Scene-24-QUAG24,1,QUAG24,Collagen4
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_2-Scene-25-QUAG25,1,QUAG25,DAPI
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_2-Scene-25-QUAG25,1,QUAG25,Laminin
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_2-Scene-25-QUAG25,1,QUAG25,Dystrophin
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_2-Scene-25-QUAG25,1,QUAG25,Collagen4
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_3-Scene-26-QUAG26,1,QUAG26,DAPI
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_3-Scene-26-QUAG26,1,QUAG26,Laminin
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_3-Scene-26-QUAG26,1,QUAG26,Dystrophin
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_3-Scene-26-QUAG26,1,QUAG26,Collagen4
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_3-Scene-27-QUAG27,1,QUAG27,DAPI
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_3-Scene-27-QUAG27,1,QUAG27,Laminin
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_3-Scene-27-QUAG27,1,QUAG27,Dystrophin
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_3-Scene-27-QUAG27,1,QUAG27,Collagen4
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_3-Scene-28-QUAG28,1,QUAG28,DAPI
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_3-Scene-28-QUAG28,1,QUAG28,Laminin
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_3-Scene-28-QUAG28,1,QUAG28,Dystrophin
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_3-Scene-28-QUAG28,1,QUAG28,Collagen4
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_3-Scene-29-QUAG29,1,QUAG29,DAPI
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_3-Scene-29-QUAG29,1,QUAG29,Laminin
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_3-Scene-29-QUAG29,1,QUAG29,Dystrophin
